hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
122,3.0,56644.34523809524,5588.855667732486,-0.0,1901.45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
123,3.0,58957.396825396834,4707.931485611285,8.0625,1908.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
124,3.0,61785.119047619046,6188.706189795572,16.28625,1899.9250000000002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
125,3.0,65512.71626984126,9023.5619258698,19.78,1910.175,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
126,3.0,68800.30158730158,11045.23737838147,23.2737499999785,1914.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
127,3.0,70352.43650793651,13143.180370888393,675.26125,2041.625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
128,3.0,71195.49603174604,11053.105134050673,4861.365,2054.625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
129,3.0,71934.91865079364,7595.941781266999,10112.6325,1958.3499999999995,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
130,3.0,72321.9484126984,21053.72282608696,14142.75375,1975.475,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15936.966395916019
131,3.0,72674.66071428571,7979.867811980707,17303.2,1943.425,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,21849.64927474279
132,3.0,72684.38095238096,20410.760869565216,17247.99875,1946.925,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,40254.5187712202
