hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
7853,117.87894736842105,34128.44047619047,17115.407608695652,13.49125,1297.7249999999997,8000.0,3653.5825011271518,8000.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,106400.0
7854,133.27499999999998,33863.48412698413,12921.684782608694,28.165000000000003,1371.75,8000.0,9000.0,8000.0,0.0,20000.0,7447.104724882243,-0.0,-0.0,-0.0,106400.0
7855,144.6226302083333,31949.692460317463,10372.907608695652,837.2637500000001,1437.275,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,105760.59210226018
7856,133.27499999999998,30341.563492063488,11493.831521739128,3798.5125,1394.725,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,106369.56352486176
7857,133.27499999999998,27798.96825396825,11247.472826086956,7662.008750000001,1391.3,8000.0,9000.0,8000.0,0.0,20000.0,12741.264306036366,-0.0,-0.0,-0.0,106400.0
7858,150.0,24097.839285714275,10882.826086956522,10609.0675,1395.075,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,566.446833511327,-0.0,106400.0
7859,150.0,21601.01587301587,9700.027173913044,11358.07375,1409.825,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,104300.6706574853
7860,150.0,19078.043650793647,9056.005434782608,9931.118750000001,1418.2749999999999,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,4328.816647910406,-0.0,104300.6706574853
7861,150.0,17837.82341269841,7905.407608695651,6385.822499999999,1492.4,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,95464.83973113798
7862,150.0,17777.676587301583,7051.874999999997,2261.53125,1604.5,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,13282.43329424784,-0.0,95464.83973113798
7863,150.0,18459.188492063488,7688.396739130434,152.81125,1648.8,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,15590.554146166281,-0.0,95464.83973113798
7864,150.0,18514.041666666657,7453.451086956518,53.535,1912.25,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,17331.084967631712,-0.0,95464.83973113798
7865,150.0,18231.51587301587,7571.49456521739,44.988749999999996,1924.6499999999999,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,16374.05132344984,-0.0,95464.83973113798
7866,150.0,17805.148809523806,6830.788043478261,27.305,1737.825,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,14853.06911767041,-0.0,95464.83973113798
7867,150.0,16613.757936507933,5890.271739130434,14.405000000000001,1645.5999999999995,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,11776.342828484861,-0.0,95464.83973113798
7868,150.0,15476.855158730159,5600.788043478258,10.58875,1634.3,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,2593.8825288121307,-0.0,89794.923394005
7869,150.0,13385.680555555553,5955.570652173912,-0.0,1641.7499999999998,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,85314.38151805154
7870,138.230784,11494.158730158724,7058.396739130434,-0.0,1635.5249999999999,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,85941.4145872213
7871,138.230784,10480.607142857132,6674.592391304345,-0.0,1669.7,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,89382.32632767607
7872,138.230784,9337.954365079357,6793.206521739129,-0.0,1654.3,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,94242.53161537593
7873,138.230784,7439.267857142855,7243.940217391302,-0.0,1650.5500000000002,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,98908.85063483854
7874,138.230784,6030.5634920634875,9184.646739130434,-0.0,1657.1250000000002,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,103555.74338174448
7875,138.230784,4858.75,10391.413043478258,6.7725,1661.675,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,106400.0
7876,150.0,3665.077380952381,10841.41304347826,13.061249999999998,1686.875,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,3105.5823224657893,-0.0,106400.0
7877,150.0,3072.3710317460273,10608.91304347826,15.31875,1826.1,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,14662.362087497153,-0.0,106400.0
7878,162.77041666666668,2855.1031746031717,11472.554347826084,39.13,2088.6,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,103537.39041485364
7879,162.77041666666668,2516.5833333333294,12141.603260869564,1473.7175,2134.175,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,98214.82949267534
7880,162.77041666666668,1923.9226190476186,12712.66304347826,6000.811249999979,1993.675,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,97329.14582657831
7881,150.0,1535.751984126975,12546.195652173912,10917.64625,1912.5999999999997,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,16308.808602662595,-0.0,97329.14582657831
7882,150.0,1458.40079365079,11486.902173913044,14185.431250000001,1933.4749999999995,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,14118.436929121763,-0.0,97329.14582657831
7883,150.0,1395.470238095237,10558.614130434782,14078.414999999999,1922.05,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,13934.017291161113,-0.0,97329.14582657831
7884,150.0,1324.7817460317378,10060.842391304346,11218.323749999978,1949.3750000000002,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,16870.186807895534,-0.0,97329.14582657831
7885,162.77041666666668,1677.2202380952372,10271.08695652174,6394.79875,1974.25,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,97135.0885945948
7886,162.77041666666668,2919.9047619047515,9468.260869565218,1917.20875,2001.1999999999998,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,92941.76977592421
7887,162.77041666666668,4550.212301587291,9341.005434782608,164.045,2028.7,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,86429.97016680133
7888,162.77041666666668,6024.4027777777765,9323.722826086956,88.84875,2255.5999999999995,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,79538.27090718289
7889,162.77041666666668,6774.458333333329,8733.831521739128,37.786249999999995,2252.675,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,73572.29612456958
7890,162.77041666666668,6822.420634920632,7740.978260869566,22.52125,2129.15,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,20000.0,-0.0,69718.301507598
7891,150.0,6866.27579365079,6714.374999999996,18.54375,1967.9250000000002,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,18894.80526587774,-0.0,69718.301507598
7892,150.0,7134.1527777777765,5198.559782608695,16.017500000000002,1954.475,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,15144.549497396893,-0.0,69718.301507598
7893,150.0,7516.847222222213,3376.1413043478237,-0.0,1952.15,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,11747.527887926046,-0.0,69718.301507598
7894,150.0,7962.289682539673,2499.456521739129,-0.0,1951.2250000000001,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,6718.022133532706,-0.0,69718.301507598
7895,150.0,8836.746031746026,2274.374999999997,-0.0,1947.1,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,5772.16521345507,-0.0,73439.29729643057
7896,150.0,9571.696428571422,1470.0815217391291,-0.0,1954.85,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,73714.45028089327
7897,150.0,9723.934523809514,1278.1793478260852,-0.0,1952.625,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,74927.36480293065
7898,150.0,10006.597222222212,1309.23913043478,-0.0,1956.775,8000.0,9000.0,8000.0,0.0,20000.0,14000.0,-0.0,-0.0,-0.0,76561.8591716142
